timestamp,bandwidthInMbps,flow,band
2018-07-24 23:10:00,22547.196542586666,0.0,22547.196542586666
2018-07-24 23:15:00,23293.301757626665,0.0,23293.301757626665
2018-07-24 23:20:00,24013.31411536,0.0,24013.31411536
2018-07-24 23:25:00,24898.28772938667,0.0,24898.28772938667
2018-07-24 23:30:00,26104.59699656,0.0,26104.59699656
2018-07-24 23:35:00,27036.415242559997,0.0,27036.415242559997
2018-07-24 23:40:00,27996.471262,0.0,27996.471262
2018-07-24 23:45:00,28923.389817386666,0.0,28923.389817386666
2018-07-24 23:50:00,29813.74675162667,0.0,29813.74675162667
2018-07-24 23:55:00,30745.137887386667,0.0,30745.137887386667
2018-07-25 00:00:00,31719.24848328,0.0,31719.24848328
2018-07-25 00:05:00,33020.52466821334,0.0,33020.52466821334
2018-07-25 00:10:00,34153.129292026664,0.0,34153.129292026664
2018-07-25 00:15:00,34645.091923893335,0.0,34645.091923893335
2018-07-25 00:20:00,35877.09634432,0.0,35877.09634432
2018-07-25 00:25:00,36606.27620642667,0.0,36606.27620642667
2018-07-25 00:30:00,37745.757053546666,0.0,37745.757053546666
2018-07-25 00:35:00,38770.90982853333,0.0,38770.90982853333
2018-07-25 00:40:00,39674.422587893336,0.0,39674.422587893336
2018-07-25 00:45:00,40607.20825048,0.0,40607.20825048
2018-07-25 00:50:00,47161.07459986667,0.0,47161.07459986667
2018-07-25 00:55:00,42897.52194250667,0.0,42897.52194250667
2018-07-25 01:00:00,43820.57704194667,0.0,43820.57704194667
2018-07-25 01:05:00,44341.81369962667,0.0,44341.81369962667
2018-07-25 01:10:00,45353.17296642667,0.0,45353.17296642667
2018-07-25 01:15:00,73368.63037749333,1211.9208024764375,72156.7095750169
2018-07-25 01:20:00,47988.41716562667,0.0,47988.41716562667
2018-07-25 01:25:00,48757.17886429333,0.0,48757.17886429333
2018-07-25 01:30:00,49238.18521885334,0.0,49238.18521885334
2018-07-25 01:35:00,50242.53250834666,0.0,50242.53250834666
2018-07-25 01:40:00,50848.856333226664,0.0,50848.856333226664
2018-07-25 01:45:00,51719.3973596,0.0,51719.3973596
2018-07-25 01:50:00,62724.516191066665,0.0,62724.516191066665
2018-07-25 01:55:00,58020.298395386664,0.0,58020.298395386664
2018-07-25 02:00:00,54095.61709837333,0.0,54095.61709837333
